avg_x,avg_y,fix,lefteye_avg_x,lefteye_avg_y,lefteye_pcenter_x,lefteye_pcenter_y,lefteye_psize,lefteye_raw_x,lefteye_raw_y,raw_x,raw_y,righteye_avg_x,righteye_avg_y,righteye_pcenter_x,righteye_pcenter_y,righteye_psize,righteye_raw_x,righteye_raw_y,state,time,timestamp
384.3595,993.9596,1,502.8722,984.2601,0.4412,0.5241,17.5319,510.9386,985.9897,503.2712,991.9722,393.1643,1000.1475,0.6037,0.5198,16.9948,495.6039,997.9547,7,415528709,18-Dec-2019 11:28:46
386.8402,994.3959,1,495.4427,984.2748,0.4409,0.5237,17.7404,452.14,984.6868,471.4114,992.4245,401.0478,1000.2352,0.6037,0.5195,17.7089,490.6829,1000.1622,7,415528742,18-Dec-2019 11:28:46
393.3148,994.1744,1,497.3708,986.0571,0.4413,0.5241,17.7062,510.5723,998.2315,505.6483,986.2954,409.1104,998.7538,0.6039,0.5196,17.5883,500.7242,974.3593,7,415528776,18-Dec-2019 11:28:46
399.3867,993.9582,1,496.5218,985.5134,0.441,0.5239,17.976,490.254,981.4905,494.1418,980.3359,416.9727,998.8064,0.6038,0.5195,17.3861,498.0297,979.1813,7,415528809,18-Dec-2019 11:28:46
405.2755,993.7396,1,498.7806,985.6861,0.441,0.5235,17.7909,517.8203,987.2594,485.2278,981.4423,421.3045,998.3154,0.6034,0.519,17.1338,452.6353,975.6252,7,415528842,18-Dec-2019 11:28:46
409.8512,993.6575,1,498.082,982.8104,0.4409,0.5234,17.9953,491.5113,956.7435,499.7343,974.8783,430.0801,997.9503,0.6036,0.5193,17.7257,507.9573,993.0132,7,415528876,18-Dec-2019 11:28:46
416.5803,992.7227,1,263.8547,936.0909,0.4393,0.5232,17.9633,263.8547,936.0909,247.759,942.5239,231.6633,948.957,0.6016,0.5192,17.3773,231.6633,948.957,7,415528909,18-Dec-2019 11:28:46
409.9001,991.5112,1,296.11,949.0682,0.4398,0.5229,18.1094,296.11,949.0682,277.8881,973.4908,259.6662,997.9133,0.6021,0.5193,17.4015,259.6662,997.9133,7,415528942,18-Dec-2019 11:28:46
404.5848,989.1432,1,306.2761,934.4198,0.4402,0.523,17.7878,316.4163,919.8088,291.7923,930.6927,263.422,969.7092,0.6026,0.5193,17.6111,267.1683,941.5768,7,415528976,18-Dec-2019 11:28:46
399.0832,986.626,1,305.227,939.0085,0.4406,0.5235,17.5376,303.0908,948.2017,279.141,952.9078,260.6731,965.6124,0.603,0.52,17.5079,255.1911,957.6138,7,415529009,18-Dec-2019 11:28:46
393.3451,983.9053,1,305.1472,936.2479,0.4407,0.5234,18.0088,304.8755,928.0673,287.7209,938.1393,263.1628,961.1725,0.6032,0.5199,17.3135,270.5663,948.2114,7,415529042,18-Dec-2019 11:28:46
387.0431,981.3724,1,302.8035,934.3903,0.4407,0.5231,17.8546,293.5742,927.1849,279.9506,943.5668,263.8158,960.857,0.6032,0.5198,17.3407,266.3271,959.9486,7,415529075,18-Dec-2019 11:28:46
380.9683,978.4163,1,300.3,946.3326,0.4409,0.5233,18.0147,300.3,946.3326,273.0888,952.3031,245.8777,958.2735,0.6033,0.5198,17.3276,245.8777,958.2735,7,415529109,18-Dec-2019 11:28:46
375.0222,974.5924,1,314.5917,911.8192,0.4411,0.5232,17.888,314.5917,911.8192,287.4501,927.4452,260.3085,943.0712,0.6036,0.5199,17.4882,260.3085,943.0712,7,415529142,18-Dec-2019 11:28:46
369.8515,971.4856,1,320.3423,918.7308,0.4414,0.5232,17.823,326.0784,925.6247,313.5264,948.1318,280.6674,956.8726,0.604,0.52,17.7698,300.9745,970.6389,7,415529176,18-Dec-2019 11:28:46
364.8492,969.3082,1,324.7395,935.1916,0.4415,0.5233,17.7111,333.4489,967.8693,325.7686,966.3221,293.2286,959.5413,0.6042,0.5199,17.6562,318.0883,964.7749,7,415529209,18-Dec-2019 11:28:46
360.4535,967.0901,1,326.0565,935.9744,0.4416,0.5233,17.9807,329.8657,938.0123,316.525,960.7831,295.8131,965.6255,0.6042,0.5202,17.5507,303.1843,983.5539,7,415529242,18-Dec-2019 11:28:46
356.1779,965.3724,1,328.6222,942.5008,0.4416,0.5234,19.0512,338.5595,967.8143,304.5167,987.0409,290.741,973.9368,0.6041,0.5204,17.7361,270.4739,1006.2675,7,415529275,18-Dec-2019 11:28:46
351.3012,964.5427,1,326.5934,951.1266,0.4415,0.5237,18.9514,316.4731,992.4614,306.0681,986.6882,291.5976,975.2446,0.6041,0.5203,17.8768,295.663,980.9151,7,415529309,18-Dec-2019 11:28:46
346.9315,963.6827,1,328.6154,951.2841,0.4416,0.5235,18.9107,340.1951,950.9748,320.2424,966.2434,292.9034,976.2822,0.6042,0.5206,17.8646,300.2896,981.5121,7,415529343,18-Dec-2019 11:28:46
341.3951,962.7125,1,328.0443,952.9266,0.4415,0.5236,18.917,323.9477,962.6724,320.3491,977.209,296.0535,978.4106,0.6042,0.5208,18.2525,316.7504,991.7455,7,415529376,18-Dec-2019 11:28:47
337.0116,962.087,1,329.3042,954.9292,0.4416,0.5236,18.9872,338.5571,968.6151,323.1667,993.7636,297.5106,983.2977,0.6043,0.5211,18.0663,307.7762,1018.9121,7,415529409,18-Dec-2019 11:28:47
331.2414,962.7687,1,325.5745,955.4697,0.4415,0.5238,18.8776,294.1416,958.3623,300.4811,970.3895,298.6039,983.3986,0.6044,0.5211,17.8528,306.8206,982.4166,7,415529442,18-Dec-2019 11:28:47
327.1874,962.6064,1,325.3859,953.6086,0.4417,0.5236,18.775,324.0453,935.0634,305.4906,965.7947,297.5525,984.8719,0.6044,0.5211,17.5479,286.9358,996.5261,7,415529475,18-Dec-2019 11:28:47
322.5484,963.4529,1,321.6929,954.4354,0.4417,0.5235,18.8388,285.8049,961.5022,274.4797,970.1457,294.4443,984.4937,0.6044,0.5209,17.8676,263.1544,978.7892,7,415529509,18-Dec-2019 11:28:47
318.8543,963.6012,1,320.0051,955.0794,0.4419,0.5234,19.0199,303.6781,960.6616,306.2052,978.7583,295.668,985.7181,0.6048,0.521,17.9619,308.7322,996.8551,7,415529542,18-Dec-2019 11:28:47
316.1841,963.709,1,318.5473,954.0117,0.4422,0.5233,19.1216,304.1673,940.7959,298.925,955.8173,295.5201,984.6594,0.605,0.5208,17.6281,293.6827,970.8387,7,415529576,18-Dec-2019 11:28:47
313.0741,963.6494,1,316.1591,953.6215,0.4424,0.5234,18.1431,290.3578,948.2509,292.4395,942.5065,295.4496,981.024,0.6053,0.5208,18.1324,294.5212,936.7621,7,415529609,18-Dec-2019 11:28:47
310.0564,963.9265,1,315.9111,950.9733,0.4427,0.5232,18.0521,315.9942,917.7797,309.3751,952.424,296.0003,981.4637,0.6057,0.521,17.8761,302.7559,987.0682,7,415529642,18-Dec-2019 11:28:47
303.4615,955.8173,0,426.2963,827.1669,0.4439,0.522,18.1355,426.2963,827.1669,403.4827,853.1157,302.1271,974.0729,0.6066,0.5201,17.5465,380.6692,879.0645,7,415529676,18-Dec-2019 11:28:47
412.3216,857.7565,0,412.3216,857.7565,0.4441,0.5223,18.0666,412.3216,857.7565,389.8427,870.0195,306.8997,967.413,0.6067,0.5202,17.3046,367.3638,882.2826,7,415529709,18-Dec-2019 11:28:47
416.2575,853.6845,0,420.1833,849.623,0.4442,0.5222,18.3257,428.025,841.5103,409.262,856.9526,312.9283,960.5063,0.6069,0.5202,17.7736,390.499,872.395,7,415529742,18-Dec-2019 11:28:47
416.7187,855.3103,0,417.6152,858.5618,0.4441,0.5226,18.0002,412.4719,876.3669,407.4947,873.7523,319.3914,953.9245,0.6069,0.5204,17.8581,402.5175,871.1378,7,415529776,18-Dec-2019 11:28:47
417.4375,856.1243,0,419.5421,858.5328,0.4441,0.5226,17.721,425.2543,858.3526,410.6735,860.2809,325.0832,947.1367,0.6069,0.5205,17.5195,396.0927,862.2093,7,415529809,18-Dec-2019 11:28:47
417.1384,856.4205,0,415.9172,857.5547,0.444,0.5225,17.8068,401.6333,853.6246,383.7247,863.9534,328.5592,941.4716,0.6067,0.5205,17.8646,365.816,874.2821,7,415529843,18-Dec-2019 11:28:47
410.6096,862.5335,1,412.7228,859.8193,0.444,0.5226,17.7249,397.3115,870.7904,383.458,879.1024,332.0591,936.9257,0.6068,0.5206,17.9579,369.6046,887.4145,7,415529875,18-Dec-2019 11:28:47
410.7192,862.2487,1,411.7976,860.1176,0.4441,0.5224,17.879,406.8069,861.6368,401.4326,870.9824,336.9638,932.2087,0.6069,0.5205,17.9058,396.0583,880.3281,7,415529909,18-Dec-2019 11:28:47
401.4247,870.4113,1,405.0746,853.4361,0.4438,0.5219,17.8206,360.7495,808.7265,364.6344,815.8815,339.9673,924.3125,0.6066,0.5199,17.5366,368.5193,823.0364,7,415529942,18-Dec-2019 11:28:47
397.9128,871.54,1,402.0599,844.9586,0.444,0.5215,17.4107,380.7271,781.9794,361.541,786.2899,342.2115,914.4922,0.6065,0.5196,17.8394,342.355,790.6003,7,415529975,18-Dec-2019 11:28:47
395.3351,871.2844,1,399.4274,837.4808,0.444,0.5214,17.7677,379.2662,777.3026,381.6539,794.5479,346.2181,905.8262,0.6068,0.5197,17.6152,384.0416,811.7933,7,415530008,18-Dec-2019 11:28:47
392.8374,870.7323,1,396.3293,832.7281,0.4439,0.5213,17.6395,370.3399,792.9623,366.8634,792.1219,348.5899,896.2975,0.6067,0.5195,17.3339,363.387,791.2815,7,415530041,18-Dec-2019 11:28:47
390.5441,869.8483,1,395.0452,827.9896,0.4441,0.5213,17.8236,385.2332,785.8499,376.0396,783.297,351.1863,886.2278,0.6068,0.5195,17.3868,366.8459,780.7441,7,415530075,18-Dec-2019 11:28:47
388.5512,868.496,1,392.3488,826.9741,0.4441,0.5215,18.3117,366.9779,821.809,353.8111,802.619,352.4171,876.4252,0.6068,0.5196,17.5236,340.6443,783.4291,7,415530108,18-Dec-2019 11:28:47
389.1842,865.0427,1,400.13,826.0634,0.4453,0.5216,18.1132,490.723,821.3965,491.231,824.1671,491.739,826.9378,0.608,0.52,17.8398,491.739,826.9378,7,415530142,18-Dec-2019 11:28:47
395.4714,861.6643,1,406.405,825.1996,0.4452,0.5215,18.1004,480.891,820.4736,488.7123,821.2045,496.5337,821.9355,0.6081,0.5199,17.9166,496.5337,821.9355,7,415530175,18-Dec-2019 11:28:47
401.4149,858.5182,1,413.5849,823.3558,0.4451,0.5209,17.7165,500.1098,805.9671,509.726,813.2548,507.9525,821.238,0.6079,0.5194,17.9405,519.3422,820.5424,7,415530208,18-Dec-2019 11:28:47
405.7168,855.2389,1,419.1053,822.9194,0.4446,0.5205,17.8021,484.8528,823.0179,497.4921,803.4799,508.7012,808.752,0.6074,0.5184,17.7107,510.1313,783.9419,7,415530242,18-Dec-2019 11:28:47
410.1059,852.2388,1,425.7143,822.7468,0.4443,0.5205,18,506.1836,825.8322,486.5485,824.4804,498.1782,812.3298,0.6068,0.5182,17.5335,466.9135,823.1287,7,415530275,18-Dec-2019 11:28:47
471.9234,817.9489,0,431.0545,822.4037,0.4438,0.5199,17.5158,493.9088,822.599,491.5085,824.802,496.286,815.2933,0.6064,0.5175,17.6832,489.1083,827.0049,7,415530309,18-Dec-2019 11:28:47
468.5128,817.8362,0,435.4119,820.9925,0.4434,0.5187,17.7083,484.1772,805.5408,480.7227,810.9968,492.9848,815.5028,0.606,0.5163,17.6975,477.2681,816.4529,7,415530342,18-Dec-2019 11:28:47
468.0615,818.3467,0,439.1544,818.5606,0.4433,0.5178,17.5366,478.9155,788.0424,477.217,813.8878,490.3232,819.0915,0.606,0.5157,17.7439,475.5186,839.7331,7,415530375,18-Dec-2019 11:28:48
469.8116,819.2425,0,444.9149,819.5571,0.4439,0.5179,17.8393,514.7195,840.141,504.3901,840.2147,490.7051,821.9173,0.6066,0.5162,17.5806,494.0607,840.2885,7,415530409,18-Dec-2019 11:28:48
470.0207,819.3138,0,449.461,819.1208,0.444,0.5175,17.6675,500.1172,816.919,506.9704,810.5522,493.3371,819.9267,0.6069,0.5162,17.6845,513.8235,804.1854,7,415530442,18-Dec-2019 11:28:48
470.5553,819.1791,0,453.0817,819.3159,0.4434,0.5166,17.5715,489.2159,826.416,498.5638,813.3014,494.8735,817.8557,0.6064,0.5156,17.5229,507.9117,800.1868,7,415530474,18-Dec-2019 11:28:48
472.0014,819.065,1,456.6656,819.5873,0.4423,0.5159,17.7388,492.4143,827.1746,498.5768,821.6093,495.8589,817.6757,0.6054,0.515,17.684,504.7394,816.0441,7,415530508,18-Dec-2019 11:28:48
469.164,818.9392,1,452.6196,818.2117,0.4399,0.516,18.0573,359.5071,807.0249,361.7083,834.1741,483.7053,821.7007,0.603,0.5153,17.7329,363.9095,861.3233,7,415530541,18-Dec-2019 11:28:48
466.5549,818.5981,1,449.3155,816.3381,0.4385,0.5159,17.8643,378.3169,793.9542,371.39,814.8303,473.0899,823.0083,0.6013,0.5148,17.5606,364.4632,835.7064,7,415530575,18-Dec-2019 11:28:48
463.8815,818.2147,1,444.2834,815.3931,0.4367,0.5152,17.8219,348.79,815.4348,347.3984,813.4617,462.1308,822.1785,0.5996,0.5138,17.3018,346.0067,811.4886,7,415530608,18-Dec-2019 11:28:48
461.0389,818.022,1,438.2828,816.5356,0.4353,0.5144,18.062,337.5118,844.6199,337.0471,835.6835,451.5293,822.6166,0.5981,0.5124,17.2378,336.5825,826.7469,7,415530641,18-Dec-2019 11:28:48
458.4504,818.0746,1,433.4732,816.3362,0.4343,0.5133,17.9478,353.7718,820.103,349.2537,828.7235,442.5063,823.8046,0.5971,0.511,17.2139,344.7356,837.3439,7,415530675,18-Dec-2019 11:28:48
455.5786,818.181,1,427.1928,816.3479,0.4336,0.5123,17.8072,329.586,826.1886,332.1703,834.3849,433.5294,825.2715,0.5963,0.5094,17.1039,334.7547,842.5811,7,415530708,18-Dec-2019 11:28:48
452.6212,818.2529,1,422.9189,814.4723,0.4334,0.5109,17.8289,365.4556,791.7159,353.6852,804.9578,425.7586,824.9279,0.596,0.5076,17.4516,341.9147,818.1996,7,415530742,18-Dec-2019 11:28:48
449.4941,818.2316,1,417.9463,815.041,0.4336,0.5101,17.8808,344.104,820.7693,339.9668,815.6105,418.1618,824.0689,0.5961,0.5061,16.8618,335.8295,810.4517,7,415530775,18-Dec-2019 11:28:48
446.2372,818.2923,1,412.3433,815.7343,0.4343,0.5094,17.9201,337.8366,817.897,344.2708,820.8178,412.088,824.1213,0.5968,0.5054,17.0922,350.705,823.7386,7,415530808,18-Dec-2019 11:28:48
442.8634,818.3344,1,408.0748,816.9638,0.4354,0.5088,17.7771,358.6903,827.0128,327.9255,820.6587,403.0096,823.5547,0.5975,0.5049,17.3301,297.1608,814.3045,7,415530841,18-Dec-2019 11:28:48
439.2774,818.3698,1,402.442,816.4921,0.4362,0.5078,17.5367,332.545,803.0854,326.2125,800.0645,395.9176,821.9158,0.5985,0.5044,17.0995,319.8799,797.0436,7,415530874,18-Dec-2019 11:28:48
435.1906,818.6274,1,398.3605,814.7816,0.4374,0.5077,17.8762,359.4258,781.7454,332.2824,803.2526,388.3699,822.0494,0.5995,0.5049,17.8792,305.139,824.7599,7,415530907,18-Dec-2019 11:28:48
431.7988,818.2355,1,394.2668,812.6857,0.4383,0.5081,17.7314,352.6732,783.341,343.9128,772.3956,383.1097,818.3199,0.6004,0.5052,17.0658,335.1524,761.4503,7,415530941,18-Dec-2019 11:28:48
427.9115,818.0276,1,388.6726,812.8232,0.4388,0.5081,17.9736,350.0763,819.9987,327.0946,818.012,376.3633,817.9813,0.6007,0.5054,17.1319,304.1128,816.0252,7,415530974,18-Dec-2019 11:28:48
423.9012,817.8044,1,383.2068,812.9925,0.4392,0.5081,17.7775,344.0531,819.8613,337.9362,811.873,370.1483,816.8831,0.6011,0.5052,17.2099,331.8193,803.8848,7,415531008,18-Dec-2019 11:28:48
419.5114,817.5765,1,378.1521,811.1147,0.4396,0.508,17.6552,348.8433,782.4312,328.2025,794.6436,362.6393,816.0041,0.6014,0.5053,17.2115,307.5618,806.8558,7,415531041,18-Dec-2019 11:28:48
415.3483,817.2072,1,372.0221,811.1857,0.44,0.5082,17.8745,321.4373,818.2015,325.0649,797.5336,356.9895,813.7962,0.6019,0.5052,17.1838,328.6924,776.8657,7,415531075,18-Dec-2019 11:28:48
411.0193,816.813,1,368.7364,810.0731,0.4404,0.5078,17.382,367.1157,798.4413,356.6517,799.6181,353.3766,812.5295,0.6021,0.5052,17.5594,346.1877,800.7949,7,415531108,18-Dec-2019 11:28:48
406.8279,816.4256,1,366.2677,810.5077,0.441,0.5081,17.5844,371.8306,822.8345,370.7233,818.0956,351.2811,812.024,0.6028,0.5056,17.2749,369.6159,813.3568,7,415531141,18-Dec-2019 11:28:48
402.2766,816.1484,1,368.6707,812.7759,0.4419,0.5086,17.599,445.1768,849.2833,457.6755,847.4364,355.7682,813.6461,0.6037,0.5063,17.4406,470.1741,845.5896,7,415531174,18-Dec-2019 11:28:48
397.8954,815.8711,1,373.2496,816.6547,0.442,0.5088,18.0773,475.3639,872.4976,477.3209,844.3677,361.1592,813.2608,0.6037,0.5061,17.3022,479.2778,816.2379,7,415531208,18-Dec-2019 11:28:48
394.1736,815.7193,1,376.3676,817.5811,0.4418,0.5085,17.5947,454.3114,834.5924,442.1257,834.015,363.6324,813.9716,0.6034,0.5061,17.2982,429.94,833.4375,7,415531241,18-Dec-2019 11:28:48
391.3726,815.7831,1,380.0007,818.6185,0.4418,0.5087,17.4406,455.8626,831.2415,465.0016,839.1663,368.7668,816.0066,0.6036,0.5063,17.4948,474.1405,847.0912,7,415531274,18-Dec-2019 11:28:48
388.3056,815.8656,1,384.3439,821.084,0.4418,0.5089,17.323,462.6396,857.2059,449.7481,855.9661,371.9528,818.5459,0.6035,0.5065,17.2362,436.8566,854.7262,7,415531308,18-Dec-2019 11:28:48
385.5841,816.0727,1,388.8276,822.96,0.4418,0.5086,17.603,463.9083,847.7536,447.6053,847.5649,374.9962,820.43,0.6034,0.5062,17.3737,431.3023,847.3762,7,415531341,18-Dec-2019 11:28:48
387.9198,817.9222,1,397.8999,826.7117,0.4424,0.5089,17.8878,512.285,875.2874,507.5397,877.7441,384.1524,823.7268,0.604,0.5066,17.1093,502.7944,880.2009,7,415531375,18-Dec-2019 11:28:49
387.3324,818.586,1,406.1626,830.067,0.4426,0.5093,17.4833,505.8148,867.2086,500.3317,862.2999,392.6576,826.0095,0.6042,0.507,17.2862,494.8486,857.3912,7,415531407,18-Dec-2019 11:28:49
388.07,819.6148,1,415.7858,833.4402,0.4427,0.5097,17.6773,525.8242,873.6161,513.3393,887.233,401.5393,831.1813,0.6042,0.5078,17.1971,500.8545,900.8499,7,415531441,18-Dec-2019 11:28:49
389.0772,820.7984,1,423.1179,837.5742,0.4423,0.5099,17.8468,490.1664,893.6124,497.9882,891.311,410.5576,835.3791,0.604,0.5078,17.2386,505.8099,889.0095,7,415531474,18-Dec-2019 11:28:49
391.0609,822.1047,1,430.9672,839.2544,0.4423,0.5099,17.711,507.6097,848.7748,502.1983,862.8337,418.6095,838.6434,0.6039,0.5079,17.6028,496.7869,876.8927,7,415531508,18-Dec-2019 11:28:49
393.2572,823.5176,1,437.8729,842.0409,0.4424,0.5105,17.8816,492.4762,870.2695,494.8665,867.5162,426.4707,841.0353,0.604,0.5083,17.6843,497.2568,864.7629,7,415531540,18-Dec-2019 11:28:49
395.925,825.1371,1,443.5201,846.2352,0.4423,0.5106,17.7442,485.2216,888.5261,481.4688,884.064,432.6918,844.5287,0.6038,0.5083,17.492,477.7159,879.6019,7,415531574,18-Dec-2019 11:28:49
399.0844,826.9414,1,450.6106,850.7338,0.4423,0.5104,17.956,510.5605,902.3721,509.7068,886.9598,440.476,847.4944,0.6038,0.508,17.7483,508.8532,871.5475,7,415531607,18-Dec-2019 11:28:49
402.8396,828.8859,1,457.8203,852.7494,0.4423,0.5104,17.8779,517.6477,862.8149,515.4879,875.4592,447.9445,851.1326,0.6039,0.5082,17.923,513.3282,888.1035,7,415531641,18-Dec-2019 11:28:49
406.9772,830.9489,1,464.7737,855.4699,0.4424,0.5105,17.915,524.3058,878.9595,511.9735,879.3135,454.8508,854.2305,0.6039,0.5081,17.6268,499.6413,879.6675,7,415531674,18-Dec-2019 11:28:49
411.423,833.2487,1,470.9707,860.7294,0.4424,0.5105,18.206,512.6944,918.7533,495.9232,912.6721,459.7677,858.9849,0.6039,0.508,18.0104,479.152,906.5909,7,415531707,18-Dec-2019 11:28:49
416.2999,835.6616,1,477.5282,864.1643,0.4425,0.5103,18.214,531.1633,887.2232,512.701,892.4321,465.3325,862.657,0.604,0.5081,17.7376,494.2387,897.6411,7,415531740,18-Dec-2019 11:28:49
421.1744,838.3344,1,482.038,868.1158,0.4427,0.5104,18.677,502.0401,899.9669,489.5345,891.9297,469.0467,866.1033,0.6041,0.5082,17.7132,477.0288,883.8925,7,415531773,18-Dec-2019 11:28:49
426.3537,841.0217,1,487.4772,871.916,0.4428,0.5105,18.1232,523.4181,908.6571,521.5182,886.7253,475.3092,867.4648,0.6044,0.5083,17.6818,519.6182,864.7936,7,415531807,18-Dec-2019 11:28:49
431.7145,843.8703,1,491.2574,875.275,0.4429,0.5111,18.2265,500.959,904.1725,494.2558,908.4812,478.882,871.6788,0.6045,0.5091,17.8021,487.5526,912.7899,7,415531840,18-Dec-2019 11:28:49
437.1649,846.7499,1,494.6097,877.2369,0.4428,0.5113,18.2839,501.1435,876.2982,490.9741,883.8309,481.9777,874.3711,0.6044,0.5094,17.9431,480.8047,891.3636,7,415531874,18-Dec-2019 11:28:49
442.6828,849.53,1,498.3917,877.3234,0.4428,0.511,18.1014,508.6386,856.2322,505.813,836.0313,485.765,872.6972,0.6043,0.5089,17.6664,502.9875,815.8303,7,415531907,18-Dec-2019 11:28:49
448.4209,852.244,1,500.6705,876.605,0.4428,0.5111,17.8077,499.1835,841.5636,472.161,834.724,445.1385,827.8843,0.604,0.5092,17.8038,445.1385,827.8843,7,415531940,18-Dec-2019 11:28:49
451.5511,850.1365,1,525.5208,856.9434,0.4429,0.5112,18.0586,525.5208,856.9434,493.5744,827.7516,461.6281,798.5598,0.6042,0.5092,17.7617,461.6281,798.5598,7,415531974,18-Dec-2019 11:28:49
457.0858,849.9659,1,526.4991,843.4323,0.4429,0.511,17.9517,526.4991,843.4323,505.8756,838.077,473.4552,815.6625,0.6043,0.5091,17.411,485.2521,832.7217,7,415532007,18-Dec-2019 11:28:49
461.5235,849.1331,1,517.0038,833.9227,0.443,0.5108,18.2137,507.5326,824.4372,497.9398,823.3542,478.4603,817.9038,0.6043,0.5091,17.2524,488.3469,822.2712,7,415532040,18-Dec-2019 11:28:49
466.3009,848.7197,1,522.4264,834.9054,0.4433,0.511,17.8498,533.2507,836.9064,501.5441,851.355,476.3192,830.0157,0.6045,0.5096,17.3105,469.8375,865.8036,7,415532073,18-Dec-2019 11:28:49
470.3028,848.2222,1,518.0024,841.0854,0.4433,0.5111,17.8533,504.8523,859.4393,507.8194,837.972,483.3318,827.3691,0.6048,0.5093,17.3607,510.7864,816.5048,7,415532107,18-Dec-2019 11:28:49
474.2804,847.7442,1,519.8373,842.125,0.4437,0.5109,17.9595,527.1367,846.0519,503.0229,837.535,482.6473,827.7075,0.605,0.5093,17.2294,478.9091,829.0181,7,415532140,18-Dec-2019 11:28:49
477.7052,847.0736,1,516.1903,844.8213,0.4438,0.5109,17.6814,498.4611,857.7315,497.5773,834.2412,484.7716,825.2556,0.6054,0.5093,17.3602,496.6935,810.7509,7,415532173,18-Dec-2019 11:28:49
480.1372,845.997,1,518.2145,842.5054,0.4442,0.5107,17.99,530.1747,828.7399,512.6851,824.2618,486.2039,824.5519,0.6056,0.5094,17.0067,495.1954,819.7838,7,415532207,18-Dec-2019 11:28:49
483.3419,845.3705,1,519.1838,843.6348,0.4443,0.511,17.6591,525.6947,851.0081,510.9223,843.6523,487.4562,825.9299,0.6058,0.5097,17.541,496.1499,836.2965,7,415532240,18-Dec-2019 11:28:49
485.7653,844.4882,1,518.2705,845.0067,0.4444,0.5114,17.9714,511.3404,855.0219,498.9097,836.8288,487.4455,825.1685,0.6059,0.5101,16.536,486.4789,818.6357,7,415532274,18-Dec-2019 11:28:49
487.9616,843.649,1,518.3581,848.647,0.4447,0.5118,18.257,519.1644,878.4402,506.569,856.0416,488.174,826.0109,0.6061,0.5105,16.8712,493.9736,833.6429,7,415532307,18-Dec-2019 11:28:49
490.8748,843.7222,1,516.4344,849.268,0.4445,0.5116,18.0689,498.9925,853.7149,503.3601,863.7328,490.0669,830.4395,0.6061,0.5107,16.7357,507.7278,873.7507,7,415532341,18-Dec-2019 11:28:49
492.8735,843.359,1,515.926,850.2486,0.4446,0.5118,17.739,511.4389,858.6009,497.8097,853.5876,489.6781,832.1384,0.606,0.5107,16.5488,484.1804,848.5744,7,415532373,18-Dec-2019 11:28:50
494.6906,843.1663,1,516.0698,852.3024,0.4448,0.512,17.613,518.2101,872.4278,502.6208,871.3245,489.558,835.4236,0.6062,0.511,16.7432,487.0316,870.2211,7,415532406,18-Dec-2019 11:28:50
496.2861,842.9608,1,515.4808,851.7246,0.4448,0.5117,17.7616,509.4434,843.2241,507.2956,842.6682,490.8594,836.1801,0.6063,0.5107,16.4061,505.1478,842.1122,7,415532440,18-Dec-2019 11:28:50
497.2549,843.8578,1,509.0392,853.8248,0.4443,0.512,17.4192,433.8851,876.866,428.7511,872.3754,485.9294,838.7883,0.6056,0.5108,16.8201,423.617,867.8848,7,415532473,18-Dec-2019 11:28:50
497.9574,845.1788,1,500.9962,855.6255,0.4443,0.5122,17.4946,405.002,875.4434,393.6111,873.7877,478.3859,841.4841,0.6055,0.511,16.7014,382.2202,872.1321,7,415532506,18-Dec-2019 11:28:50
498.4128,845.6227,1,495.2607,855.936,0.4444,0.5122,17.9416,428.1367,856.9174,416.5064,857.1722,472.9439,842.9464,0.6056,0.511,16.6441,404.8761,857.427,7,415532539,18-Dec-2019 11:28:50
497.6764,845.769,1,489.1864,857.7625,0.4445,0.5123,17.4105,417.1482,879.2161,424.5006,881.6272,469.6796,846.0918,0.6058,0.5112,16.1603,431.853,884.0382,7,415532573,18-Dec-2019 11:28:50
496.718,845.9855,1,485.6477,858.3141,0.4448,0.5123,17.4057,448.4366,862.305,447.3605,859.1517,467.5756,847.1856,0.606,0.5111,17.4845,446.2843,855.9984,7,415532606,18-Dec-2019 11:28:50
491.7339,847.4869,1,475.7993,860.038,0.4443,0.5127,17.7859,348.8329,880.8949,330.0525,886.5087,311.2721,892.1224,0.6053,0.5118,17.1461,311.2721,892.1224,7,415532640,18-Dec-2019 11:28:50
483.6064,850.0166,1,465.6549,863.4682,0.4444,0.5127,17.6397,335.6864,909.0708,347.8373,900.2058,359.9882,891.3409,0.6057,0.5117,17.3925,359.9882,891.3409,7,415532673,18-Dec-2019 11:28:50
475.0385,853.1398,1,458.0331,866.8189,0.4447,0.5126,17.4154,367.1985,910.6067,356.4102,911.0313,352.7958,901.4111,0.6057,0.5118,17.2153,345.6219,911.4557,7,415532707,18-Dec-2019 11:28:50
466.0405,855.9575,1,448.2791,869.6571,0.4448,0.5127,17.2074,326.0049,904.9998,328.326,895.5673,345.3694,896.3145,0.6059,0.5118,16.9804,330.6471,886.1348,7,415532740,18-Dec-2019 11:28:50
457.0789,859.1206,1,441.0135,872.8459,0.445,0.5127,17.5942,358.9637,913.0894,351.7559,917.1959,345.1249,902.6105,0.6061,0.5119,17.1427,344.5479,921.3025,7,415532773,18-Dec-2019 11:28:50
448.8171,863.4546,1,432.9751,875.9212,0.4451,0.5124,17.3798,339.5069,913.7036,343.9247,918.7073,345.7474,906.928,0.6062,0.5117,17.2941,348.3424,923.7109,7,415532807,18-Dec-2019 11:28:50
